Country,Source,Year,Migrants,Non migrants,Total,Unknown
Ukraine,Report on Occupational Injuries,2012,,,91.8,
Ukraine,Report on Occupational Injuries,2013,,,85.4,
Ukraine,Report on Occupational Injuries,2014,,,51.2,
Ukraine,Report on Occupational Injuries,2015,,,51.1,
Ukraine,Report on Occupational Injuries,2016,,,51.8,
Ukraine,Report on Occupational Injuries,2017,,,53.5,
Ukraine,Report on Occupational Injuries,2018,,,49.1,
Ukraine,Report on Occupational Injuries,2019,,,53.5,
United Kingdom,Labour Inspectorate Records,2010,,987.3,906,
United Kingdom,Labour Inspectorate Records,2011,,0,864.7,
United Kingdom,Labour Inspectorate Records,2012,,0,776.3,
United Kingdom,Labour Inspectorate Records,2013,,0,831.5,
United Kingdom,Labour Inspectorate Records,2014,,1.4,827.1,
United Kingdom,Labour Inspectorate Records,2015,,0,759.6,
United States,Survey of Occupational Injuries and Illnesses,2010,,,1100,
United States,Survey of Occupational Injuries and Illnesses,2011,,,1000,
United States,Survey of Occupational Injuries and Illnesses,2012,,,1000,
United States,Survey of Occupational Injuries and Illnesses,2013,,,1000,
United States,Survey of Occupational Injuries and Illnesses,2014,,,1000,
United States,Survey of Occupational Injuries and Illnesses,2015,,,900,
United States,Survey of Occupational Injuries and Illnesses,2016,,,900,
United States,Survey of Occupational Injuries and Illnesses,2017,,,900,
United States,Survey of Occupational Injuries and Illnesses,2018,,,900,
Uruguay,Registros del Banco de Seguros del Estado,2018,,,2654.3,
Uzbekistan,Official Estimates,2010,,,76.8,
Uzbekistan,Official Estimates,2011,,,40.1,
Uzbekistan,Official Estimates,2012,,,55.1,
Uzbekistan,Official Estimates,2013,,,41.9,
Uzbekistan,Official Estimates,2014,,,45.1,
Uzbekistan,Official Estimates,2015,,,38,
Uzbekistan,Official Estimates,2016,,38,38,
Uzbekistan,Official Estimates,2017,,33,33,
Uzbekistan,Official Estimates,2018,,34,34,
Uzbekistan,Official Estimates,2019,,36,36,
Zimbabwe,Records of the National Social Security,2011,,,391.1,
Zimbabwe,Records of the National Social Security,2012,,,480.1,
